fid,LATITUD,LONGITUD,PROGRESIVA,Z
"123",-34.5554512897764,-58.6179740628664,2453.91,4.84
"124",-34.5554978508861,-58.6177622242633,2474.03,8.37
"125",-34.555544411618,-58.6175503854775,2494.14,5.28
"126",-34.555590971972,-58.617338546509,2514.25,7.28
"127",-34.5556375319482,-58.6171267073578,2534.37,4.76
"128",-34.5556840915465,-58.616914868024,2554.48,4.92
"129",-34.555730650767,-58.6167030285075,2574.6,4.84
"130",-34.5557772096096,-58.6164911888083,2594.71,7.83
"131",-34.5558237680744,-58.6162793489265,2614.82,6.89
"132",-34.5558703261614,-58.616067508862,2634.94,6.56
"133",-34.5559168838705,-58.6158556686149,2655.05,10.39
"134",-34.5559634412017,-58.6156438281851,2675.17,7.35
"135",-34.5560099981551,-58.6154319875727,2695.28,4.53
"136",-34.5560565547307,-58.6152201467777,2715.39,5.86
"137",-34.5561031109283,-58.6150083058,2735.51,8.81
"138",-34.5561496667482,-58.6147964646398,2755.62,6.95
"139",-34.5561962221901,-58.6145846232969,2775.74,5.47
"140",-34.5562427772542,-58.6143727817714,2795.85,7.42
"141",-34.5562893319404,-58.6141609400633,2815.96,8.42
"142",-34.5563358862488,-58.6139490981726,2836.08,5.03
"143",-34.5563824401793,-58.6137372560993,2856.19,10.73
"144",-34.5564289937319,-58.6135254138435,2876.31,10.75
"145",-34.5564755469067,-58.613313571405,2896.42,5.62
"146",-34.5565220997035,-58.613101728784,2916.53,5.61
"147",-34.5565686521226,-58.6128898859804,2936.65,7.48
"148",-34.5566152041637,-58.6126780429943,2956.76,8.67
"149",-34.5566617558269,-58.6124661998256,2976.88,6.39
"150",-34.5567083071123,-58.6122543564743,2996.99,11.6
"151",-34.5567548580198,-58.6120425129405,3017.1,10.31
"152",-34.5568014085494,-58.6118306692242,3037.22,8.95
"153",-34.5568479587011,-58.6116188253253,3057.33,7.95
"154",-34.556894508475,-58.6114069812439,3077.45,8.64
"155",-34.5569410578709,-58.61119513698,3097.56,4.86
"156",-34.556987606889,-58.6109832925335,3117.67,8.05
"157",-34.5570341555291,-58.6107714479046,3137.79,7.8
"158",-34.5570807037914,-58.6105596030931,3157.9,6.58
"159",-34.5571272516758,-58.6103477580992,3178.02,6.71
"160",-34.5571737991823,-58.6101359129227,3198.13,10.65
"161",-34.5572203463108,-58.6099240675637,3218.24,10.4
"162",-34.5572668930615,-58.6097122220223,3238.36,8.46
"163",-34.5573134394343,-58.6095003762984,3258.47,8.5
"164",-34.5573599854292,-58.609288530392,3278.59,7.85
"165",-34.5574065310462,-58.6090766843032,3298.7,6.41
"166",-34.5574530762852,-58.6088648380318,3318.81,4.94
"167",-34.5574996211464,-58.6086529915781,3338.93,4.77
"168",-34.5575461656296,-58.6084411449418,3359.04,5.01
"169",-34.557592709735,-58.6082292981232,3379.16,9.35
"170",-34.5576392534624,-58.6080174511221,3399.27,8.15
"171",-34.5576857968119,-58.6078056039385,3419.38,7.94
"172",-34.5577323397835,-58.6075937565725,3439.5,8.28
"173",-34.5577788823772,-58.6073819090241,3459.61,6.03
"174",-34.5578254245929,-58.6071700612933,3479.73,7.29
"175",-34.5578719664307,-58.6069582133801,3499.84,8.48
"176",-34.5579185078907,-58.6067463652845,3519.95,8.64
"177",-34.5579650489726,-58.6065345170064,3540.07,7.61
"178",-34.5580115896767,-58.606322668546,3560.18,8.35
"179",-34.5580581300028,-58.6061108199032,3580.3,14.82
"180",-34.558104669951,-58.605898971078,3600.41,13.91
"181",-34.5581512095213,-58.6056871220704,3620.52,9.7
"182",-34.5581977487136,-58.6054752728804,3640.64,18.7
"183",-34.558244287528,-58.6052634235081,3660.75,18.19
"184",-34.5582908259645,-58.6050515739534,3680.87,14.72
"185",-34.558337364023,-58.6048397242164,3700.98,17.91
"186",-34.5583839017036,-58.604627874297,3721.09,18.67
"187",-34.5584304390062,-58.6044160241952,3741.21,18.85
"188",-34.5584769759309,-58.6042041739112,3761.32,18.83
"189",-34.5585235124776,-58.6039923234447,3781.44,9.38
"190",-34.5585700486464,-58.603780472796,3801.55,12.31
"191",-34.5586165844373,-58.6035686219649,3821.66,10.56
"192",-34.5586631198502,-58.6033567709515,3841.78,11.42
"193",-34.5587096548852,-58.6031449197558,3861.89,14.44
"194",-34.5587561895421,-58.6029330683778,3882.01,13.08
"195",-34.5588027238212,-58.6027212168175,3902.12,10.83
"196",-34.5588492577223,-58.6025093650749,3922.23,11.74
"197",-34.5588957912454,-58.60229751315,3942.35,11.59
"198",-34.5589423243906,-58.6020856610428,3962.46,12.7
"199",-34.5589888571578,-58.6018738087534,3982.58,12.06
"200",-34.559035389547,-58.6016619562817,4002.69,13.29
"201",-34.5590819215583,-58.6014501036277,4022.81,14.69
"202",-34.5591284531916,-58.6012382507914,4042.92,10.3
"203",-34.5591749844469,-58.6010263977729,4063.03,10.97
"204",-34.5592215153243,-58.6008145445721,4083.15,11.17
